building_type,building_period,location_id,structure_type,design_U_value_W_m2K,effective_thermal_mass_J_m2K,linear_thermal_bridges_W_mK,external_U_value_to_ambient_air_W_m2K,external_U_value_to_ground_W_m2K,internal_U_value_to_structure_W_m2K,total_U_value_W_m2K
SFH,1983-1993,IE,partition_wall,0.6,514663.2078981847,0.0,1.3505104134945123,0.0,3.6256353748267163,0.9839861084314105
SFH,1983-1993,IE,roof,0.4000000000000001,235719.36316069987,0.0,0.4437963608698409,0.0,4.053271569195137,0.4
SFH,1983-1993,IE,separating_floor,1.22,720720.2451202546,0.0,1.1531517906934978,0.0,3.540028436293997,0.869813204049622
SFH,1983-1993,UK,base_floor,1.22,990847.5388356828,0.0,0.0,0.34114972444626557,4.255912928207633,0.31583287686695866
SFH,1983-1993,UK,exterior_wall,0.6,627221.8891559567,0.0,0.6963693215178122,0.0,4.335628666156593,0.6000000000000001
SFH,1983-1993,UK,light_exterior_wall,0.6,627221.8891559567,0.0,0.6963693215178122,0.0,4.335628666156593,0.6000000000000001
SFH,1983-1993,UK,light_partition_wall,0.6,514663.2078981847,0.0,1.3505104134945123,0.0,3.6256353748267163,0.9839861084314105
SFH,1983-1993,UK,partition_wall,0.6,514663.2078981847,0.0,1.3505104134945123,0.0,3.6256353748267163,0.9839861084314105
SFH,1983-1993,UK,roof,0.4000000000000001,235719.36316069987,0.0,0.4437963608698409,0.0,4.053271569195137,0.4
SFH,1983-1993,UK,separating_floor,1.22,720720.2451202546,0.0,1.1531517906934978,0.0,3.540028436293997,0.869813204049622
SFH,1984-1994,DE,base_floor,0.5791505791505791,246149.98937033323,0.0,0.0,0.2552376850911976,3.970855651356399,0.23982243731877748
SFH,1984-1994,DE,exterior_wall,0.8000000000000002,1035088.8598638702,0.0,0.988142292490119,0.0,4.201680672268908,0.8000000000000003
SFH,1984-1994,DE,light_exterior_wall,0.8000000000000002,1035088.8598638702,0.0,0.988142292490119,0.0,4.201680672268908,0.8000000000000003
SFH,1984-1994,DE,light_partition_wall,0.8000000000000002,679826.2397172087,0.0,0.7836990595611287,0.0,3.2894736842105265,0.6329113924050634
SFH,1984-1994,DE,partition_wall,0.8000000000000002,679826.2397172087,0.0,0.7836990595611287,0.0,3.2894736842105265,0.6329113924050634
SFH,1984-1994,DE,roof,0.4000000000000001,218919.25193722922,0.0,0.4434768585711983,0.0,4.080118694362019,0.4000000000000001
SFH,1984-1994,DE,separating_floor,0.5791505791505791,239585.97720037165,0.0,3.0672062146757675,0.0,3.936983730813336,1.7240453300392065
SFH,1986-1992,PL,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1992,PL,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1992,PL,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1992,PL,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1992,PL,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1992,PL,roof,0.4000000000000001,789437.7844258089,0.0,0.4621072088724585,0.0,2.9761904761904767,0.4000000000000001
SFH,1986-1992,PL,separating_floor,1.3999999999999997,702455.1314339557,0.0,1.3036595586181208,0.0,3.6073177016232925,0.9575923392612857
SFH,1986-1995,EE,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1995,EE,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,EE,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,EE,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,EE,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,EE,roof,0.21,1272231.2513238294,0.0,0.23811143615211922,0.0,1.7787565644587495,0.21
SFH,1986-1995,EE,separating_floor,1.3999999999999997,702455.1314339557,0.0,1.3036595586181208,0.0,3.6073177016232925,0.9575923392612857
SFH,1986-1995,FI,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1995,FI,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,FI,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,FI,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,FI,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,FI,roof,0.21,1272231.2513238294,0.0,0.23811143615211922,0.0,1.7787565644587495,0.21
SFH,1986-1995,FI,separating_floor,1.3999999999999997,702455.1314339557,0.0,1.3036595586181208,0.0,3.6073177016232925,0.9575923392612857
SFH,1986-1995,LT,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1995,LT,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,LT,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,LT,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,LT,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,LT,roof,0.21,1272231.2513238294,0.0,0.23811143615211922,0.0,1.7787565644587495,0.21
SFH,1986-1995,LT,separating_floor,1.3999999999999997,702455.1314339557,0.0,1.3036595586181208,0.0,3.6073177016232925,0.9575923392612857
SFH,1986-1995,LV,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1995,LV,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,LV,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,LV,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,LV,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,LV,roof,0.21,1272231.2513238294,0.0,0.23811143615211922,0.0,1.7787565644587495,0.21
SFH,1986-1995,LV,separating_floor,1.3999999999999997,702455.1314339557,0.0,1.3036595586181208,0.0,3.6073177016232925,0.9575923392612857
SFH,1986-1995,NO,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1995,NO,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,NO,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,NO,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,NO,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,NO,roof,0.21,1272231.2513238294,0.0,0.23811143615211922,0.0,1.7787565644587495,0.21
SFH,1986-1995,NO,separating_floor,1.3999999999999997,702455.1314339557,0.0,1.3036595586181208,0.0,3.6073177016232925,0.9575923392612857
SFH,1986-1995,SE,base_floor,1.3999999999999997,944921.2259380579,0.0,0.0,0.35474016483559406,4.455760661998727,0.32858060493164176
SFH,1986-1995,SE,exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,SE,light_exterior_wall,1.3,1165105.1608006326,0.0,1.7261983800292127,0.0,5.265289590927501,1.3
SFH,1986-1995,SE,light_partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
SFH,1986-1995,SE,partition_wall,1.3,713004.6395678923,0.0,1.2205999718323086,0.0,3.5719192196730316,0.9097270818754374
